Colony,Round,Treatment,Eggs,Larvae,Pupae,Workers_begin,Workers_end,Gynes_end,Gynes_emerged,Total_gynes,Total_workers,Total_males,Mass_begin
179,Round1,c,106,213,186,59,321,0,0,0,695,9,726
180,Round1,db,32,77,217,102,333,222,20,242,562,23,741
181,Round1,db,104,347,153,98,520,147,9,156,754,20,733
182,Round1,nb,27,1,110,76,116,0,0,0,198,114,737
183,Round1,c,155,317,214,67,342,9,0,9,749,13,751
184,Round1,nb,165,311,252,91,165,0,0,0,573,0,753
185,Round1,nb,165,393,213,59,109,0,0,0,475,25,723
186,Round1,db,226,49,173,113,374,171,64,235,574,2,762
188,Round2,db,179,237,294,69,337,0,0,0,775,155,663
189,Round2,c,136,300,215,76,267,11,0,11,574,27,668
190,Round2,c,149,217,219,61,339,3,0,3,626,34,670
191,Round2,nb,42,138,150,50,102,3,0,3,232,142,672
192,Round2,nb,142,226,172,62,182,0,0,0,397,39,670
193,Round2,c,132,201,218,62,292,0,0,0,619,5,676
194,Round2,db,142,194,191,73,441,25,0,25,725,1,677
195,Round2,c,155,211,186,45,290,0,0,0,597,0,676